timestamp,x,y,z
51453249263,-4.875,17.5,-14.625
51453271885,7.5625,14.875,-10.5625
51453300459,10.375,-2.25,-10.9375
51453309290,-1.6875,-14.9375,-9.875
51453331784,-14.8125,-14.5,-5.3125
51453352869,-24,2,-0.5
51453376848,-6.625,11.875,0.8125
51453399352,10.0625,10.25,1.875
51453412846,3.375,-5.9375,-4.125
51453429327,-7.125,-11.8125,-5.75
51453452268,-7.4375,-2.75,1.5
51453474335,-16,13.4375,2.25
51453489410,1.8125,17.8125,3.0625
51453511767,6,5.9375,-0.125
51453532859,-14.5,-7.375,-1.1875
51453549296,-20.0625,-13.75,4.0625
51453579411,-26.8125,6.9375,5.375
51453600355,-12.9375,19.6875,1
51453622918,6.875,12.1875,0.375
51453631859,-9.875,-4.75,-2.25
51453654308,-28.375,-13.1875,-5.6875
51453676797,-23.5625,-11.3125,-1.3125
51453691801,-18.6875,0.375,4.0625
51453712887,-10.4375,15.3125,6.125
51453735312,1.3125,22.25,6.3125
51453753303,3,19.875,8.4375
51453772827,-14,16.5625,7.3125
51453788710,-17.8125,5.375,9.625
51453811765,-29.1875,-9.0625,4.9375
51453833070,-27.125,-5.125,4.125
51453855408,-21.0625,8.5625,4
51453879379,-19.125,16.875,5.125
51453901847,-1.125,18.75,4.5
51453917268,8.5625,19.625,2.1875
51453931924,-1.125,23.5625,2.125
51453954321,-4.9375,19.125,2.125
51453969589,-1.875,8.0625,4.25
51453991856,-11.25,5,1.75
51454014323,-16.1875,-1.4375,-0.625
51454028687,-13.875,-1.5,-1.8125
51454051848,-10.6875,2.0625,1.375
51454081865,-7.875,9.8125,2.9375
51454088733,0.375,12.6875,1.5625
51454111798,3.6875,7.75,1.1875
51454134373,1.75,7.125,-1.6875
51454156826,4.8125,6.4375,0.4375
51454177881,-0.375,9.125,1.5
51454194369,-2.1875,6.9375,-0.375
51454215348,0.0625,1.25,-1.0625
51454231914,-5.5625,-0.375,-0.625
51454254398,-5.5,-0.8125,1.0625
51454268643,-0.3125,-5.375,1.5625
51454291862,0.5,-6.8125,0.5625
51454314329,-8.9375,-2.375,1.4375
51454328671,0.25,2.125,-2.375
51454359358,13,4.5,-8.25
51454381895,12.1875,3.4375,-8.9375
51454395548,6.1875,-1.125,-9.0625
51454411852,7.875,0.1875,-2.4375
51454434511,1.6875,-3.75,0.375
51454456871,-0.375,-9.9375,4.6875
51454471823,-5.9375,-13.1875,7.8125
51454494437,-6.75,-6.625,7
51454515420,-9.4375,-4.8125,7.8125
51454531829,-12.1875,-4.4375,10.8125
51454561875,-9.1875,-7.0625,10.25
51454582888,-3.375,7.5,-0.5
51454591868,11.0625,9.8125,-3.6875
51454614349,-1.625,3,-3.375
51454636861,-11.8125,-4.125,-3.25
51454659407,-15,-14.125,-7.375
51454674311,-9.625,-24.625,5.25
51454695586,-15.5,-7.9375,3.9375
51454711178,-0.9375,12.5,1
51454734387,7.0625,12,-1.875
51454762935,-2.3125,-16.375,5.625
51454771182,-31.25,-45.375,-2.25
51454794414,-15,-34.125,4.9375
51454816836,-19.6875,-16.1875,7.5
51454839434,-0.9375,-9.125,10.1875
51454861929,-3.0625,3.0625,5.125
51454876856,5.0625,5.8125,1.75
51454892169,23.5625,11.5625,3.4375
51454914375,26,15.8125,9.625
51454936798,13.5,-0.125,13
51454951274,-1.1875,-9.9375,6.1875
51454974390,-18.4375,-13.1875,3.4375
51454996924,-6.5625,-13.25,1.1875
51455017935,9.0625,-12.1875,-0.8125
51455040420,3.75,-4.0625,0.4375
51455064372,-2.8125,28.1875,-3.8125
51455077972,14.75,31.5,-12.0625
51455096521,16.875,-0.0625,-15.625
51455116903,-2.625,-21.8125,-14.375
51455139381,-11.875,-27.6875,-7.6875
51455154419,-8.1875,-15.5625,-2.5
51455176848,3.375,9.125,-2.6875
51455197984,3.5,27.625,-6.6875
51455214462,6.1875,24.3125,-12.0625
51455244396,4.0625,11.8125,-12
51455257884,-4.9375,5.3125,-9.9375
51455274372,-1.875,3.375,-2
51455297160,-11.75,8.5,-0.25
51455319422,-9.3125,6.25,-3.625
51455342017,-1.875,0.4375,-2.125
51455357184,-8.8125,2.8125,-0.1875
51455377991,-1.8125,8.875,-4.9375
51455396660,5.625,14.5625,-12.5
51455417346,6.125,8,-10.8125
51455437982,-5.5625,-8.8125,5
51455454398,-3.75,-1.3125,12.5625
51455476841,5.1875,2.9375,14.375
51455497905,-4.125,20.9375,19.6875
51455521886,1.75,13.5,15.25
51455544333,29.375,-8,11.75
51455567201,-3.0625,-26.875,11
51455574402,-19.0625,-34,12.9375
51455598433,-13,-8.875,19.125
51455619427,-16.4375,35.9375,13.625
51455634397,34.0625,67.125,3.8125
51455656861,53.8125,53.9375,5.4375
51455678021,1.1875,3.25,-0.875
51455693754,-10.5,-44.5625,-12.0625
51455717095,-27.0625,-54.375,-12.25
51455745420,-29.9375,-51.0625,-8.875
51455753728,-22.75,-20.8125,-1.8125
51455776894,-8.625,25.125,-11.3125
51455799976,48.6875,48.5625,-13.5625
51455821989,46.4375,44.1875,-15.75
51455844398,33.3125,24.9375,-7.625
51455859415,17.625,-16.375,-2.9375
51455873769,1.6875,-32.0625,-0.6875
51455899117,-16.25,-42.8125,-9.375
51455919482,-3.1875,-45.625,-0.5625
51455933734,3.3125,-15.9375,17.3125
51455958351,4.4375,45,15.125
51455979429,65.125,59.875,-1.375
51456001943,70.125,54.5625,2.4375
51456024470,6,25.375,9.4375
51456039469,-23.5625,-17.875,11.75
51456060511,-33.125,-43.75,0.9375
51456076985,-37.6875,-50.3125,-11.375
51456101431,-39.8125,-34,2.5625
51456122003,-37.3125,6.6875,0.625
51456136958,16.9375,39,-2.8125
51456159459,33.0625,46.1875,-10.9375
51456180489,21.75,29.4375,-10.125
51456196971,20.875,-1.625,1.875
51456226991,-14.125,-11.875,12
51456240502,-11.875,-24.0625,17.5
51456257019,-19.5,-21.625,3.5
51456279387,7,-28.5625,8.8125
51456301933,12.375,-10.5,-2.9375
51456323170,18.1875,17.875,-5.9375
51456339424,33.125,37,-12.375
51456360626,28.375,13.8125,-8.8125
51456377128,12.0625,-15.1875,-6.5
51456399949,-5,-45.5625,-2.5
51456428002,-6.0625,-51.125,-1.8125
51456436983,-9,-33.8125,14.5
51456459400,-6.25,14.3125,7.3125
51456480524,35.9375,50.5625,2.1875
51456504426,57,66.5625,-1.875
51456525525,4.75,18.9375,3.5
51456540477,-0.375,-26.625,10.1875
51456564450,-27.5625,-50.3125,12.5
51456579450,-32.5625,-52.5625,10.125
51456600494,-28.5625,-34.1875,14.3125
51456616289,-3.5,6.9375,7.5625
51456639402,20.8125,39.75,-4.375
51456660456,31.0625,42.25,-9
51456676369,11.0625,23.4375,-7.0625
51456699412,-8.5625,-10.625,-5.5625
51456729396,-20,-29.0625,5.3125
51456736244,-13,-38,10.75
51456759488,-15.4375,-4.75,9.4375
51456781986,-1.25,35.25,2.5625
51456804361,26.125,50.625,0.625
51456819585,10.8125,32.1875,-1.25
51456841950,-9.4375,-2.5,-4.3125
51456856277,-17.75,-33.25,0.4375
51456879420,-32.5,-36.625,8.6875
51456910587,-27.6875,-35.875,16
51456930674,-7.6875,-17.5625,15.875
51456939427,-0.0625,18.9375,-0.125
51456961977,21.25,33.75,-15.375
51456984492,28.875,31.25,-15.75
51457006974,13.5,19.6875,-8.3125
51457021979,-8.25,0.0625,-2.6875
51457043014,-12.8125,-18.0625,4.6875
51457059448,-16.4375,-19.25,3.1875
51457082023,-2.9375,-18.6875,2.375
51457103040,4.25,-4.6875,3.4375
51457119450,4.8125,24,-0.875
51457142019,24.6875,38.3125,-4.6875
51457162965,20.75,21.3125,-3.6875
51457185727,-1.25,-13.0625,0.5
51457208040,-9.8125,-27.375,-8
51457230661,-9.1875,-29.875,-8.5
51457239493,-1.75,-32.875,-8.3125
51457261970,-0.75,-1.75,-7.25
51457284524,8.125,27,-7
51457299443,33.5,26.125,4.1875
51457321984,23.625,12.125,14.875
51457343654,-14.5625,-6.75,3.125
51457359392,-8.8125,-38.9375,-7.875
51457381990,-17.1875,-44.0625,-14.5625
51457410509,-14.875,-38.9375,-12.3125
51457419510,0.3125,-2.6875,-11.5625
51457442027,12.125,30.6875,-1.375
51457463046,26.9375,40.0625,11.625
51457487064,18.1875,22.8125,24.6875
51457501718,-13.25,-4.375,15.1875
51457523144,-11.375,-23.875,1.125
51457538814,-21.5625,-26.3125,-10.8125
51457561986,-25.3125,-16.875,-15.0625
51457583060,-5.875,-22.0625,-6.0625
51457598785,6.25,-4.5625,5.6875
51457636332,10.4375,25.0625,10.8125
51457643005,19.375,44.375,13.1875
51457667028,14.5625,25.4375,17.3125
51457689454,1.875,10.3125,12.3125
51457711990,-15.0625,-7.5,8.6875
51457720409,-33.5625,-16.375,-3.75
51457742024,-27.9375,-17.375,-7.5625
51457764456,-1.8125,-18.5625,-5.8125
51457785570,7.375,5.4375,4.25
51457801952,0.625,30.6875,8.3125
51457824527,13.9375,22.4375,17.25
51457838848,9.875,9.25,17.6875
51457861964,-10.3125,11.375,6.9375
51457892000,-13.1875,5.1875,-4.6875
51457912975,-12.5,-0.5,-17.4375
51457921964,-1.5625,2.6875,-21.125
51457944477,-3.4375,-1.4375,-11.9375
51457967404,-2.75,2.125,-7.375
51457982041,23.25,7.3125,0.625
51458004441,20.125,0.375,8.625
51458025530,-0.75,-9.125,16.1875
51458041999,4.9375,-13.6875,9.8125
51458065002,-2.375,-22,0.8125
51458085666,-7.1875,-20.4375,-8.375
51458101981,0.9375,-14.25,-15.0625
51458124506,-23.3125,-9.4375,-19.9375
51458145604,1.9375,-1,-9.4375
51458169465,3.875,-2.75,-0.375
51458190535,-16.8125,-42,12.625
51458205530,-27.5625,-64.3125,15.4375
